Provider,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Scale01,Scale02,Scale03,Scale04,Scale05,Scale06,Scale07,Scale08,isRusselGroup,Latitude,Longitude
University of Greenwich,0.84,0.75,0.77,0.76,0.78,0.82,0.77,0.72,0.68,0.69,0.72,0.81,0.72,0.69,0.6,0.72,0.69,0.74,0.8,0.76,0.6,0.78,0.8,0.69,0.55,0.59,0.73,0.78,0.79,0.7,0.74,0.67,0.76,0.69,0.68,0,51.483372,-0.006075
University of Hertfordshire,0.84,0.74,0.78,0.77,0.78,0.81,0.78,0.71,0.67,0.68,0.71,0.81,0.73,0.69,0.63,0.74,0.73,0.72,0.77,0.75,0.6,0.78,0.82,0.72,0.56,0.52,0.75,0.78,0.79,0.69,0.75,0.7,0.75,0.69,0.7,0,51.75333,-0.24389
University of Newcastle upon Tyne,0.83,0.73,0.81,0.71,0.76,0.78,0.71,0.6,0.63,0.48,0.57,0.81,0.64,0.61,0.56,0.68,0.6,0.67,0.71,0.69,0.5,0.71,0.77,0.61,0.46,0.44,0.69,0.77,0.75,0.57,0.69,0.61,0.69,0.6,0.61,1,54.978,-1.615
"University of Nottingham, The",0.87,0.79,0.86,0.75,0.82,0.81,0.75,0.64,0.65,0.57,0.6,0.83,0.69,0.64,0.64,0.74,0.67,0.72,0.76,0.77,0.56,0.74,0.79,0.65,0.45,0.46,0.76,0.82,0.79,0.61,0.72,0.68,0.75,0.64,0.63,1,52.939,-1.197
University of Plymouth,0.86,0.79,0.82,0.75,0.8,0.81,0.78,0.73,0.69,0.7,0.7,0.82,0.74,0.71,0.63,0.77,0.7,0.72,0.75,0.72,0.61,0.8,0.83,0.68,0.5,0.61,0.75,0.8,0.8,0.7,0.75,0.7,0.73,0.7,0.67,0,50.374121,-4.138512
University of Portsmouth,0.82,0.73,0.77,0.72,0.75,0.78,0.75,0.68,0.68,0.65,0.68,0.81,0.7,0.67,0.56,0.69,0.65,0.72,0.78,0.74,0.53,0.71,0.83,0.67,0.49,0.5,0.71,0.76,0.76,0.67,0.73,0.63,0.74,0.62,0.66,0,50.79528,-1.09333
University of Southampton,0.87,0.81,0.87,0.78,0.8,0.8,0.76,0.68,0.7,0.64,0.65,0.85,0.71,0.67,0.69,0.77,0.71,0.74,0.76,0.77,0.59,0.77,0.83,0.69,0.52,0.5,0.79,0.83,0.79,0.67,0.74,0.72,0.76,0.68,0.68,1,50.93463,-1.39595
University of Stirling,0.88,0.83,0.85,0.79,0.85,0.84,0.78,0.76,0.71,0.65,0.72,0.85,0.73,0.65,0.65,0.8,0.72,0.76,0.8,0.78,0.6,0.82,0.86,0.69,0.49,0.54,0.81,0.84,0.83,0.71,0.75,0.72,0.78,0.71,0.68,0,56.14583,-3.91944
University of Strathclyde,0.9,0.84,0.89,0.82,0.83,0.85,0.77,0.7,0.7,0.55,0.65,0.89,0.76,0.67,0.69,0.83,0.78,0.81,0.79,0.82,0.61,0.87,0.87,0.72,0.53,0.65,0.85,0.86,0.82,0.65,0.78,0.77,0.81,0.74,0.71,0,55.8617167,-4.241699833
University of Suffolk,0.83,0.81,0.82,0.75,0.76,0.82,0.78,0.75,0.7,0.72,0.74,0.79,0.71,0.7,0.61,0.77,0.68,0.72,0.75,0.7,0.57,0.69,0.75,0.65,0.52,0.55,0.73,0.8,0.79,0.73,0.73,0.68,0.72,0.63,0.64,0,52.0525,1.1635
University of Sunderland,0.85,0.8,0.82,0.81,0.82,0.86,0.82,0.75,0.75,0.7,0.77,0.81,0.78,0.76,0.65,0.77,0.72,0.74,0.79,0.78,0.68,0.81,0.8,0.77,0.64,0.62,0.78,0.82,0.83,0.74,0.78,0.71,0.77,0.74,0.74,0,54.9051,-1.3915
University of Sussex,0.86,0.77,0.82,0.7,0.8,0.81,0.69,0.67,0.64,0.53,0.61,0.81,0.66,0.61,0.68,0.76,0.71,0.7,0.76,0.75,0.5,0.69,0.76,0.68,0.43,0.49,0.75,0.79,0.77,0.61,0.7,0.71,0.74,0.59,0.62,0,50.86528,-0.08556
University of the West of Scotland,0.81,0.75,0.77,0.77,0.79,0.82,0.78,0.69,0.65,0.66,0.68,0.74,0.66,0.62,0.5,0.76,0.61,0.65,0.67,0.69,0.53,0.79,0.79,0.62,0.43,0.48,0.74,0.77,0.8,0.67,0.67,0.62,0.67,0.66,0.61,0,55.843744,-4.430242
University of Wolverhampton,0.82,0.75,0.8,0.78,0.78,0.81,0.8,0.73,0.67,0.68,0.72,0.73,0.7,0.68,0.59,0.69,0.64,0.69,0.74,0.7,0.61,0.76,0.79,0.68,0.54,0.51,0.71,0.79,0.8,0.7,0.71,0.64,0.71,0.68,0.67,0,52.58722,-2.12722
University of Worcester,0.87,0.82,0.82,0.79,0.82,0.84,0.84,0.75,0.71,0.75,0.75,0.77,0.76,0.75,0.66,0.77,0.72,0.75,0.82,0.79,0.66,0.8,0.85,0.75,0.6,0.65,0.77,0.82,0.83,0.74,0.76,0.72,0.78,0.73,0.73,0,52.19806,-2.24361
University of York,0.88,0.82,0.86,0.74,0.84,0.84,0.74,0.68,0.68,0.64,0.66,0.88,0.74,0.71,0.71,0.8,0.75,0.77,0.8,0.8,0.59,0.76,0.84,0.68,0.46,0.45,0.78,0.83,0.8,0.66,0.78,0.75,0.79,0.67,0.66,1,53.947,-1.052
Warwickshire College,0.89,0.85,0.84,0.73,0.78,0.79,0.8,0.72,0.71,0.63,0.73,0.73,0.7,0.74,0.57,0.76,0.64,0.59,0.56,0.62,0.6,0.76,0.72,0.66,0.39,0.38,0.75,0.83,0.79,0.7,0.72,0.66,0.59,0.68,0.59,0,52.288,-1.549
Writtle University College,0.95,0.88,0.85,0.78,0.88,0.92,0.82,0.73,0.66,0.8,0.74,0.83,0.77,0.83,0.65,0.78,0.69,0.75,0.8,0.77,0.74,0.86,0.88,0.8,0.73,0.67,0.8,0.86,0.87,0.73,0.81,0.71,0.77,0.8,0.8,0,51.7399,0.4146
York St John University,0.85,0.79,0.8,0.78,0.82,0.82,0.77,0.73,0.72,0.74,0.75,0.8,0.75,0.72,0.64,0.75,0.7,0.71,0.76,0.72,0.63,0.77,0.84,0.72,0.54,0.6,0.77,0.81,0.8,0.73,0.76,0.7,0.73,0.7,0.7,0,53.965402,-1.080673
